sample_id,query,difficulty,entropy,k_determined
1,what is python?,easy,0.0871128808515797,0
2,what is git?,easy,0.18303102726305065,0
3,what is ai?,easy,0.26640595763443253,0
4,what is machine learning?,easy,0.1603491836631105,0
5,what is deep learning?,easy,0.16559215870051508,0
6,what is neural network?,easy,0.21280404765564767,0
7,what is a database?,easy,0.17338358380369553,0
8,what is an algorithm?,easy,0.24450910936938514,0
9,what is programming?,easy,0.30048247086918245,0
10,what is software?,easy,0.1630112587612593,0
11,what is java?,easy,0.2397759744020301,0
12,what is javascript?,easy,0.30524097713238485,0
13,what is html?,easy,0.19976242543368947,0
14,what is css?,easy,0.09923236424996888,0
15,what is sql?,easy,0.1154885875634508,0
16,what is api?,easy,0.22446363766163183,0
17,what is json?,easy,0.16070641210758185,0
18,what is xml?,easy,0.2038699824462392,0
19,what is http?,easy,0.13022929511773093,0
20,what is https?,easy,0.2572219163039438,0
21,what is tcp?,easy,0.2636401703283125,0
22,what is ip?,easy,0.09791350565246033,0
23,what is dns?,easy,0.11753461293146014,0
24,what is cloud?,easy,0.5252125612075941,1
25,what is docker?,easy,0.19726703637622267,0
26,what is kubernetes?,easy,0.18299162796782117,0
27,what is linux?,easy,0.22751261176106288,0
28,what is windows?,easy,0.30300787756591874,0
29,what is macos?,easy,0.2527731724895175,0
30,what is ios?,easy,0.22120580959962835,0
31,what is android?,easy,0.18839386279783008,0
32,what is html5?,easy,0.23971731967448406,0
33,what is css3?,easy,0.22220656569636527,0
34,what is react?,easy,0.2473951167806775,0
35,compare machine learning and deep learning,medium,0.25870056346868453,0
36,difference between cnn and rnn,medium,0.267880801632976,0
37,when to use reinforcement learning,medium,0.5978978624305401,1
38,advantages of transformer architecture,medium,0.35317271461244537,0
39,how does attention mechanism work,medium,0.5292189180267156,1
40,explain gradient descent,medium,0.337420436078439,0
41,what is overfitting and how to fix it,medium,0.1595131794763671,0
42,difference between supervised and unsupervised learning,medium,0.22473894407070547,0
43,how does backpropagation work,medium,0.3219558156836355,0
44,what are activation functions in neural networks,medium,0.37325811595374414,0
45,difference between classification and regression,medium,0.1974629103662716,0
46,explain cross-validation,medium,0.18412375044108933,0
47,what is regularization in machine learning,medium,0.23291122450156979,0
48,difference between batch and stochastic gradient descent,medium,0.24952842753178742,0
49,how does dropout work,medium,0.21017241668667028,0
50,explain batch normalization,medium,0.20146987673346556,0
51,what is transfer learning,medium,0.18461435165201984,0
52,difference between rnn and lstm,medium,0.30102043902585746,0
53,how does convolutional layer work,medium,0.2906800238882547,0
54,explain pooling in cnn,medium,0.25985770686362103,0
55,what is data augmentation,medium,0.3420386204458127,0
56,difference between precision and recall,medium,0.09357600714435285,0
57,explain f1 score,medium,0.14047278087764667,0
58,what is confusion matrix,medium,0.21062948267524237,0
59,how does k-means clustering work,medium,0.1600254792777237,0
60,difference between random forest and gradient boosting,medium,0.3291144746612574,0
61,explain feature selection,medium,0.25527831546586194,0
